Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
PMT,22.58,2019/10/04,16:02 EDT,0.289999,22.29,22.58,22.27,1070709,20191007,,1.0,,,,
JAG,6.76,2019/10/04,16:01 EDT,-0.119999886,6.86,6.96,6.57,2029729,20191007,,1.0,,,,
OI,9.36,2019/10/04,16:03 EDT,0.009999275,9.35,9.4206,9.09,2209027,20191007,,1.0,,,,
PUMP,8.71,2019/10/04,16:02 EDT,0.0100002,8.79,8.94,8.45,1952646,20191007,,1.0,,,,
ANF,14.37,2019/10/04,16:05 EDT,-0.35000038,14.76,14.7973,14.315,1612842,20191007,,1.0,,,,
HOME,9.33,2019/10/04,16:05 EDT,0.07999992,9.38,9.465,8.92,2087245,20191007,,1.0,,,,
WTI,4.2,2019/10/04,16:04 EDT,0.04,4.19,4.24,4.08,1551003,20191007,,1.0,,,,
GPOR,2.6,2019/10/04,16:00 EDT,0.06499982,2.49,2.66,2.4,6493909,20191007,,1.0,,,,
CRZO,7.45,2019/10/04,16:00 EDT,-0.05000019,7.54,7.7228,7.21,2959712,20191007,,1.0,,,,
AKS,2.22,2019/10/04,16:02 EDT,0.0599999,2.18,2.22,2.12,4788802,20191007,,1.0,,,,
AR,2.9,2019/10/04,16:02 EDT,0.0500002,2.8,2.92,2.66,12959336,20191007,,1.0,,,,
DNR,1.09,2019/10/04,16:03 EDT,0.0300001,1.06,1.1,1.04,8853406,20191007,,1.0,,,,
CLF,7.38,2019/10/04,16:03 EDT,0.07999992,7.29,7.56,7.25,18492050,20191007,,1.0,,,,
CPE,3.93,2019/10/04,16:01 EDT,-0.03999996,3.96,4.05,3.79,10835986,20191007,,1.0,,,,
X,10.77,2019/10/04,16:01 EDT,-0.0199995,10.86,10.935,10.46,10902218,20191007,,1.0,,,,
SWN,1.88,2019/10/04,16:02 EDT,0.0599999,1.83,1.91,1.71,19495452,20191007,,1.0,,,,
